"query","matched_name","ott_id","approx_match","flags","in_tree"
"drosophila bipectinata","Drosophila bipectinata",733212,FALSE,"",TRUE
"drosophila busckii","Drosophila busckii",661518,FALSE,"",TRUE
"drosophila elegans","Drosophila elegans",218759,FALSE,"extinct",TRUE
"drosophila erecta","Drosophila erecta",505707,FALSE,"",TRUE
"drosophila eugracilis","Drosophila eugracilis",431225,FALSE,"",TRUE
"drosophila ficusphila","Drosophila ficusphila",218755,FALSE,"",TRUE
"drosophila grimshawi","Drosophila grimshawi",505708,FALSE,"",TRUE
"drosophila guanche","Drosophila guanche",607961,FALSE,"",TRUE
"drosophila hydei","Drosophila hydei",505712,FALSE,"",TRUE
"drosophila innubila","Drosophila innubila",746890,FALSE,"",TRUE
"drosophila kikkawai","Drosophila kikkawai (species in domain Eukaryota)",793217,FALSE,"",TRUE
"drosophila mauritiana","Drosophila mauritiana",505718,FALSE,"",TRUE
"drosophila melanogaster","Drosophila melanogaster",505714,FALSE,"",TRUE
"drosophila miranda","Drosophila miranda",505719,FALSE,"",TRUE
"drosophila mojavensis","Drosophila mojavensis",1082279,FALSE,"",TRUE
"drosophila navojoa","Drosophila navojoa",1082277,FALSE,"",TRUE
"drosophila novamexicana","Drosophila novamexicana",787960,FALSE,"",TRUE
"drosophila obscura","Drosophila obscura",355241,FALSE,"",TRUE
"drosophila persimilis","Drosophila persimilis",1082274,FALSE,"",TRUE
"drosophila pseudoobscura","Drosophila pseudoobscura",1082272,FALSE,"",FALSE
"drosophila rhopaloa","Drosophila rhopaloa",644198,FALSE,"",TRUE
"drosophila sechellia","Drosophila sechellia",1082282,FALSE,"",TRUE
"drosophila serrata","Drosophila serrata",86632,FALSE,"",TRUE
"drosophila simulans","Drosophila simulans",660828,FALSE,"",TRUE
"drosophila subobscura","Drosophila subobscura",660827,FALSE,"",TRUE
"drosophila suzukii","Drosophila suzukii",227752,FALSE,"",TRUE
"drosophila takahashii","Drosophila takahashii",1008043,FALSE,"",TRUE
"drosophila virilis","Drosophila virilis",660821,FALSE,"",TRUE
