species	clade	dnds	te_total_copies	te_richness	n_recent_arrivals	arrival_fraction	genome_size_bp
Vulpes_vulpes	Mammalia	0.176727509813861	2631104.0	240	0	0.0	2421568072
Crassostrea_gigas	OtherInvertebrates	0.057116124367307	673010.0	1112	47	0.0422661870503597	647887097
Crassostrea_virginica	OtherInvertebrates	0.051212089037365	485595.0	447	38	0.0850111856823266	684741128
Mizuhopecten_yessoensis	OtherInvertebrates	0.06176015648534	778621.0	771	36	0.046692607003891	987568220
Octopus_sinensis	OtherInvertebrates	0.055696498527533	7890754.0	1293	51	0.0394431554524361	37057033
Pecten_maximus	OtherInvertebrates	0.053954544558468	687309.0	739	62	0.0838971583220568	918306378
Pomacea_canaliculata	OtherInvertebrates	0.084363319376486	225096.0	622	46	0.0739549839228295	440159624
Drosophila_pseudoobscura		0.056591351715184	51754.0	305	30	0.0983606557377049	163282969
Lates_calcarifer		0.117105085277622	373822.0	534	35	0.0655430711610486	668481366
Parambassis_ranga		0.10763200244978	295441.0	728	147	0.2019230769230769	551012959
Salvelinus_sp._IW2-2015		0.138021647000309	2792959.0	1374	50	0.0363901018922852	2169553147
